"Longitude","Latitude","Grid","anomaly_temp","anomaly_prec"
-99.2,51.2,3620,-75.3304166793823,31
-99.2,49.2,3621,-85.2477917671204,71
-99.2,47.2,3622,-96.6904273033142,10
-99.2,45.2,3623,-113.614854335785,27
-99.2,43.2,3624,-132.370416641235,60
-99.2,41.2,3625,-136.438718795776,68
-99.2,39.2,3626,-152.288469314575,38
-99.2,37.2,3627,-172.396562576294,73
-99.2,35.2,3628,-185.565405845642,70
-99.2,33.2,3629,-201.60625076294,34
-99.2,31.2,3630,-205.825759887695,-35
-99.2,29.2,3631,-228.73380279541,30
-99.2,27.2,3632,-249.102760314941,28
-99.2,25.2,3633,-251.175354003906,-36
-99.2,23.2,3634,-208.550344467163,-75
-99.2,21.2,3635,-219.404052734375,-476
-99.2,19.2,3636,-140.583072662353,119
-99.2,17.2,3637,-251.425291061401,-38
-97.2,51.2,3710,-64.9638124704361,-31
-97.2,49.2,3711,-85.8989999294281,30
-97.2,47.2,3712,-100.151374816895,-13
-97.2,45.2,3713,-111.185968875885,19
-97.2,43.2,3714,-127.964687347412,48
-97.2,41.2,3715,-146.991281509399,77
-97.2,39.2,3716,-165.615655899048,51
-97.2,37.2,3717,-174.857885360718,69
-97.2,35.2,3718,-193.386551856995,105
-97.2,33.2,3719,-207.132448196411,85
-97.2,31.2,3720,-216.816072463989,77
-97.2,29.2,3721,-224.400053024292,68
-97.2,19.2,3726,-133.735458374023,130
-97.2,17.2,3727,-185.347385406494,-88
-95.2,51.2,3800,-69.116489648819,-3
-95.2,49.2,3801,-79.6805832386017,0
-95.2,47.2,3802,-89.4667499065399,-8
-95.2,45.2,3803,-114.642645835876,-7
-95.2,43.2,3804,-125.51943731308,79
-95.2,41.2,3805,-140.281167030334,71
-95.2,39.2,3806,-163.873031616211,82
-95.2,37.2,3807,-174.048083305359,22
-95.2,35.2,3808,-195.937427520752,80
-95.2,33.2,3809,-206.650291442871,106
-95.2,31.2,3810,-216.133520126343,119
-95.2,29.2,3811,-220.376054763794,116
-95.2,17.2,3817,-256.767021179199,678
-93.2,51.2,3890,-61.6372708082199,-21
-93.2,49.2,3891,-80.7124583721161,-34
-93.2,47.2,3892,-89.2727291584015,7
-93.2,45.2,3893,-121.310062408447,8
-93.2,43.2,3894,-124.473843574524,85
-93.2,41.2,3895,-144.995427131653,82
-93.2,39.2,3896,-160.874041557312,31
-93.2,37.2,3897,-163.832010269165,42
-93.2,35.2,3898,-187.363041877747,42
-93.2,33.2,3899,-203.835823059082,87
-93.2,31.2,3900,-212.519865036011,134
-93.2,17.2,3907,-237.508905410767,253
-91.2,49.2,3981,-69.8996980190277,-76
-91.2,47.2,3982,-95.59139585495,-24
-91.2,45.2,3983,-114.298218727112,-8
-91.2,43.2,3984,-130.246479034424,48
-91.2,41.2,3985,-148.777312278748,57
-91.2,39.2,3986,-156.225531578064,-35
-91.2,37.2,3987,-164.896291732788,-4
-91.2,35.2,3988,-188.997438430786,16
-91.2,33.2,3989,-203.311906814575,79
-91.2,31.2,3990,-212.531364440918,206
-91.2,29.2,3991,-217.25500869751,14
-91.2,17.2,3997,-268.697864532471,197
-91.2,15.2,3998,-201.566802978516,580
-91.2,-0.8,4006,-237.384538650513,-615
-89.2,49.2,4071,-66.5131978690624,-116
-89.2,47.2,4072,-96.1087498664856,-33
-89.2,45.2,4073,-100.350833415985,-19
-89.2,43.2,4074,-126.467010498047,46
-89.2,41.2,4075,-143.148926734924,-12
-89.2,39.2,4076,-159.265041351318,-2
-89.2,37.2,4077,-171.256614685059,-40
-89.2,35.2,4078,-181.638312339783,-30
-89.2,33.2,4079,-191.534738540649,52
-89.2,31.2,4080,-207.420854568481,114
-89.2,29.2,4081,-217.286949157715,8
-89.2,21.2,4085,-259.198146820068,142
-89.2,19.2,4086,-264.545948028565,-5
-89.2,17.2,4087,-262.141864776611,473
-89.2,15.2,4088,-261.098114013672,316
-89.2,-0.8,4096,-239.064645767212,-801
-87.2,49.2,4161,-64.5764791965485,-111
-87.2,47.2,4162,-92.1631145477295,-78
-87.2,45.2,4163,-110.005020618439,-59
-87.2,43.2,4164,-127.270822525024,-5
-87.2,41.2,4165,-139.283177375793,-28
-87.2,39.2,4166,-155.278979301453,-27
-87.2,37.2,4167,-170.262270927429,-55
-87.2,35.2,4168,-170.536603927612,-46
-87.2,33.2,4169,-187.557636260986,-10
-87.2,31.2,4170,-200.762239456177,72
-87.2,21.2,4175,-253.72491645813,96
-87.2,15.2,4178,-239.43071937561,-40
-87.2,13.2,4179,-279.411344528198,-357
-85.2,49.2,4251,-63.5194895863533,-80
-85.2,47.2,4252,-93.6697812080383,-69
-85.2,45.2,4253,-116.233937740326,-90
-85.2,43.2,4254,-129.071791648865,-51
-85.2,41.2,4255,-138.63587474823,-60
-85.2,39.2,4256,-150.858968734741,-62
-85.2,37.2,4257,-164.572666168213,-99
-85.2,35.2,4258,-165.242104530335,-63
-85.2,33.2,4259,-180.927707672119,-70
-85.2,31.2,4260,-208.15312576294,-9
-85.2,15.2,4268,-237.597885131836,-120
-85.2,13.2,4269,-244.688177108765,-658
-85.2,11.2,4270,-264.61323928833,-375
-83.2,49.2,4341,-67.4333854317665,-107
-83.2,47.2,4342,-80.7402291297913,-88
-83.2,45.2,4343,-110.054895877838,-58
-83.2,43.2,4344,-129.093416690826,-54
-83.2,41.2,4345,-142.244572639465,-72
-83.2,39.2,4346,-150.849249839783,-92
-83.2,37.2,4347,-157.460385322571,-132
-83.2,35.2,4348,-143.303864479065,-165
-83.2,33.2,4349,-192.782968521118,-80
-83.2,31.2,4350,-208.0046043396,-49
-83.2,9.2,4361,-206.727947235107,-1009
-81.2,49.2,4431,-70.4272812008858,-127
-81.2,47.2,4432,-80.9500207901001,-171
-81.2,45.2,4433,-109.07171869278,-104
-81.2,43.2,4434,-117.827562332153,-31
-81.2,41.2,4435,-134.813031196594,-104
-81.2,39.2,4436,-149.650343894958,-140
-81.2,37.2,4437,-140.371844291687,-132
-81.2,35.2,4438,-177.840427398682,-149
-81.2,33.2,4439,-198.254739761353,-94
-81.2,31.2,4440,-210.261426925659,-32
-81.2,29.2,4441,-222.993291854858,-45
-81.2,27.2,4442,-231.410531997681,-53
-81.2,23.2,4444,-252.583333969116,127
-81.2,19.2,4446,-263.096208572388,28
-81.2,-4.8,4458,-227.940574645996,-2
-79.2,51.2,4520,-63.6108854413033,-112
-79.2,49.2,4521,-67.6884687840939,-122
-79.2,47.2,4522,-90.3928644657135,-102
