"Longitude","Latitude","Grid","anomaly_temp","anomaly_prec"
-79.2,9.2,4541,-247.193313598633,-893
-77.2,49.2,4611,-68.5383959114552,-134
-77.2,47.2,4612,-82.0077292919159,-128
-77.2,45.2,4613,-105.726302146912,-73
-77.2,43.2,4614,-134.359844207764,-93
-77.2,41.2,4615,-134.893405914307,-89
-77.2,39.2,4616,-155.861573219299,-115
-77.2,37.2,4617,-173.328858375549,-72
-77.2,35.2,4618,-185.642416000366,-62
-77.2,7.2,4632,-263.883083343506,-480
-77.2,5.2,4633,-248.766260147095,-2549
-77.2,3.2,4634,-258.884000778198,-2666
-77.2,-0.8,4636,-244.61040687561,33
-77.2,-2.8,4637,-257.37652015686,-324
-77.2,-4.8,4638,-267.02837562561,-850
-75.2,49.2,4701,-67.9874166473746,-184
-75.2,47.2,4702,-84.3625313043594,-158
-75.2,45.2,4703,-116.273020744324,-20
-75.2,43.2,4704,-120.957437515259,-168
-75.2,41.2,4705,-119.437520980835,-158
-75.2,9.2,4721,-263.392656326294,-247
-75.2,7.2,4722,-232.922500610352,-1239
-75.2,1.2,4725,-258.441144943237,-169
-75.2,-0.8,4726,-260.519790649414,-71
-75.2,-2.8,4727,-260.248052597046,-26
-75.2,-4.8,4728,-267.253082275391,-193
-75.2,-6.8,4729,-270.106229782104,-343
-75.2,-8.8,4730,-263.279230117798,-354
-73.2,49.2,4791,-67.936677031219,-131
-73.2,47.2,4792,-84.1105833053589,-229
-73.2,45.2,4793,-121.671468734741,-94
-73.2,43.2,4794,-123.159677028656,-186
-73.2,41.2,4795,-144.66756439209,-166
-73.2,11.2,4810,-280.239828109741,-1030
-73.2,3.2,4814,-270.495780944824,-46
-73.2,1.2,4815,-271.882646560669,-51
-73.2,-0.8,4816,-265.168041229248,-363
-73.2,-2.8,4817,-263.946395874023,-259
-73.2,-4.8,4818,-264.876176834106,-479
-73.2,-6.8,4819,-264.369459152222,-286
-73.2,-8.8,4820,-265.579469680786,-151
-73.2,-10.8,4821,-271.414489746094,25
-71.2,49.2,4881,-69.737364590168,-103
-71.2,47.2,4882,-75.288822889328,76
-71.2,45.2,4883,-84.8123540878296,-36
-71.2,43.2,4884,-121.751770973206,-194
-71.2,7.2,4902,-268.258937835693,-70
-71.2,5.2,4903,-270.295301437378,454
-71.2,3.2,4904,-274.525363922119,-135
-71.2,1.2,4905,-268.919988632202,-140
-71.2,-0.8,4906,-263.031448364258,-188
-71.2,-2.8,4907,-261.639760971069,-34
-71.2,-4.8,4908,-262.896083831787,-43
-71.2,-6.8,4909,-263.729604721069,-112
-71.2,-8.8,4910,-266.241094589233,-114
-71.2,-10.8,4911,-264.413457870483,196
-69.2,49.2,4971,-68.12073969841,-123
-69.2,47.2,4972,-83.3796875476837,-133
-69.2,45.2,4973,-104.780052185059,-168
-69.2,11.2,4990,-260.088687896729,-81
-69.2,9.2,4991,-283.759677886963,147
-69.2,7.2,4992,-284.868312835693,190
-69.2,5.2,4993,-280.500228881836,-258
-69.2,3.2,4994,-267.753749847412,-98
-69.2,1.2,4995,-261.303426742554,-12
-69.2,-0.8,4996,-258.452188491821,-156
-69.2,-2.8,4997,-258.874542236328,-88
-69.2,-4.8,4998,-262.923728942871,-140
-69.2,-6.8,4999,-265.393198013306,32
-69.2,-8.8,5000,-258.342802047729,-117
-69.2,-10.8,5001,-262.136489868164,30
-69.2,-12.8,5002,-266.742416381836,190
-67.2,47.2,5062,-84.1822605133057,-143
-67.2,45.2,5063,-107.202154159546,-150
-67.2,9.2,5081,-279.65246963501,284
-67.2,7.2,5082,-286.357301712036,368
-67.2,5.2,5083,-270.422386169434,-19
-67.2,3.2,5084,-269.083478927612,466
-67.2,1.2,5085,-269.406707763672,96
-67.2,-0.8,5086,-263.001104354858,-382
-67.2,-2.8,5087,-258.703792572021,-165
-67.2,-4.8,5088,-261.927635192871,-27
-67.2,-6.8,5089,-266.199947357178,-237
-67.2,-8.8,5090,-271.411333084106,58
-67.2,-10.8,5091,-273.145217895508,-70
-67.2,-12.8,5092,-277.93902015686,225
-67.2,-14.8,5093,-259.198854446411,235
-65.2,47.2,5152,-98.6657710075378,-180
-65.2,9.2,5171,-276.166656494141,265
-65.2,7.2,5172,-282.047302246094,115
-65.2,5.2,5173,-221.457738876343,-500
-65.2,3.2,5174,-265.135927200317,-47
-65.2,1.2,5175,-246.400417327881,-215
-65.2,-0.8,5176,-266.488353729248,-314
-65.2,-2.8,5177,-267.320655822754,-239
-65.2,-4.8,5178,-268.570062637329,-340
-65.2,-6.8,5179,-267.817176818848,208
-65.2,-8.8,5180,-273.899187088013,48
-65.2,-10.8,5181,-276.148187637329,295
-65.2,-12.8,5182,-280.206604003906,164
-65.2,-14.8,5183,-272.230770111084,123
-65.2,-16.8,5184,-265.489770889282,461
-65.2,-32.8,5192,-169.248073577881,20
-63.2,45.2,5243,-104.156895637512,-201
-63.2,9.2,5261,-274.079217910767,182
-63.2,7.2,5262,-267.714000701904,280
-63.2,5.2,5263,-263.349979400635,-882
-63.2,3.2,5264,-250.932802200317,250
-63.2,1.2,5265,-267.429969787598,79
-63.2,-0.8,5266,-268.749624252319,5
-63.2,-2.8,5267,-269.600395202637,-233
-63.2,-4.8,5268,-266.486030578613,-146
-63.2,-6.8,5269,-270.796188354492,-130
-63.2,-8.8,5270,-272.634635925293,-28
-63.2,-10.8,5271,-264.077260971069,-478
-63.2,-12.8,5272,-268.384229660034,25
-63.2,-14.8,5273,-269.468145370483,43
-63.2,-16.8,5274,-260.163780212402,102
-63.2,-18.8,5275,-251.591791152954,63
-63.2,-20.8,5276,-236.732082366943,-23
-63.2,-22.8,5277,-236.612396240234,191
-63.2,-24.8,5278,-225.74341583252,-28
-63.2,-26.8,5279,-215.382093429565,-100
-63.2,-28.8,5280,-208.731197357178,-76
-63.2,-30.8,5281,-188.577125549316,-46
-63.2,-32.8,5282,-176.333583831787,-30
-63.2,-34.8,5283,-170.707155227661,79
-63.2,-36.8,5284,-159.576166152954,-122
-63.2,-38.8,5285,-158.706739425659,-50
-63.2,-40.8,5286,-147.471281051636,22
-61.2,9.2,5351,-263.697813034058,568
-61.2,7.2,5352,-274.271469116211,548
-61.2,5.2,5353,-226.192739486694,266
-61.2,3.2,5354,-276.807010650635,428
-61.2,1.2,5355,-278.779375076294,140
-61.2,-0.8,5356,-274.387542724609,106
-61.2,-2.8,5357,-273.582958221435,-150
-61.2,-4.8,5358,-272.019426345825,-289
-61.2,-6.8,5359,-272.379594802856,-95
-61.2,-8.8,5360,-270.539781570435,9
-61.2,-10.8,5361,-259.427551269531,131
-61.2,-12.8,5362,-246.344135284424,-18
-61.2,-14.8,5363,-258.326280593872,63
-61.2,-16.8,5364,-247.020072937012,-46
-61.2,-18.8,5365,-253.614770889282,10
-61.2,-20.8,5366,-246.237749099731,-69
-61.2,-22.8,5367,-239.938499450684,-10
-61.2,-24.8,5368,-227.438863754272,-28
-61.2,-26.8,5369,-221.423614501953,-88
-61.2,-28.8,5370,-207.961771011353,-141
-61.2,-30.8,5371,-191.352115631104,-48
-61.2,-32.8,5372,-172.83038520813,-59
-61.2,-34.8,5373,-162.95251083374,-88
-61.2,-36.8,5374,-152.824707984924,-93
-61.2,-38.8,5375,-146.721219062805,63
-59.2,7.2,5442,-269.803874969482,578
-59.2,5.2,5443,-263.662801742554,-329
-59.2,3.2,5444,-264.732978820801,280
-59.2,1.2,5445,-277.543636322021,-83
-59.2,-0.8,5446,-277.451583862305,-119
-59.2,-2.8,5447,-277.255531311035,-215
-59.2,-4.8,5448,-274.938459396362,-172
-59.2,-6.8,5449,-267.589031219482,-188
-59.2,-8.8,5450,-266.11953163147,-86
-59.2,-10.8,5451,-258.324459075928,92
-59.2,-12.8,5452,-246.912082672119,-59
-59.2,-14.8,5453,-242.272249221802,85
-59.2,-16.8,5454,-265.230302810669,31
-59.2,-18.8,5455,-261.499052047729,-72
-59.2,-20.8,5456,-260.200082778931,-61
-59.2,-22.8,5457,-247.689531326294,-43
-59.2,-24.8,5458,-233.949750900269,14
-59.2,-26.8,5459,-217.560062408447,-32
-59.2,-28.8,5460,-205.527927398682,-185
-59.2,-30.8,5461,-192.750093460083,-110
-59.2,-32.8,5462,-180.288427352905,-80
-59.2,-34.8,5463,-167.659645080566,-38
-59.2,-36.8,5464,-147.475250244141,-67
-57.2,5.2,5533,-276.052614212036,392
-57.2,3.2,5534,-273.083728790283,69
-57.2,1.2,5535,-272.928552627563,-314
-57.2,-0.8,5536,-278.429094314575,57
-57.2,-2.8,5537,-285.716135025024,208
-57.2,-4.8,5538,-273.484437942505,-108
-57.2,-6.8,5539,-270.626354217529,-88
-57.2,-8.8,5540,-268.754812240601,-269
-57.2,-10.8,5541,-265.82084274292,-23
-57.2,-12.8,5542,-271.576728820801,123
-57.2,-14.8,5543,-270.176874160767,-171
-57.2,-16.8,5544,-275.177083969116,62
-57.2,-18.8,5545,-271.098155975342,-9
-57.2,-20.8,5546,-261.179874420166,-27
-57.2,-22.8,5547,-244.444864273071,0
-57.2,-24.8,5548,-234.759708404541,-68
-57.2,-26.8,5549,-223.208415985107,19
-57.2,-28.8,5550,-207.503749847412,-130
-57.2,-30.8,5551,-189.940458297729,-82
-57.2,-32.8,5552,-180.93095779419,-11
-57.2,-36.8,5554,-150.305895805359,258
-55.2,5.2,5623,-269.374500274658,590
-55.2,3.2,5624,-269.063375473023,-102
-55.2,1.2,5625,-261.800312042236,-108
-55.2,-0.8,5626,-266.696907043457,459
-55.2,-2.8,5627,-271.786354064941,19
-55.2,-4.8,5628,-270.469478607178,-18
-55.2,-6.8,5629,-263.404886245727,-9
-55.2,-8.8,5630,-251.914697647095,-174
-55.2,-10.8,5631,-266.133270263672,45
-55.2,-12.8,5632,-263.874645233154,-4
-55.2,-14.8,5633,-254.236343383789,8
-55.2,-16.8,5634,-269.101093292236,178
-55.2,-18.8,5635,-269.83984375,93
-55.2,-20.8,5636,-253.989719390869,21
-55.2,-22.8,5637,-234.14687538147,-33
-55.2,-24.8,5638,-223.276718139648,-110
-55.2,-26.8,5639,-207.429010391235,-192
-55.2,-28.8,5640,-202.831853866577,-212
-55.2,-30.8,5641,-185.049989700317,-91
-55.2,-32.8,5642,-173.801239013672,-93
-55.2,-34.8,5643,-166.881580352783,-68
-53.2,5.2,5713,-264.208915710449,757
-53.2,3.2,5714,-258.677145004273,696
-53.2,1.2,5715,-262.654697418213,21
-53.2,-0.8,5716,-264.086687088013,185
-53.2,-2.8,5717,-271.343124389648,24
-53.2,-4.8,5718,-262.212448120117,119
-53.2,-6.8,5719,-259.988458633423,-3
-53.2,-8.8,5720,-263.332792282104,-177
-53.2,-10.8,5721,-269.440853118896,-62
-53.2,-12.8,5722,-265.281084060669,-208
-53.2,-14.8,5723,-243.72364616394,-23
-53.2,-16.8,5724,-241.476177215576,-73
-53.2,-18.8,5725,-245.40082359314,18
-53.2,-20.8,5726,-247.68585395813,6
-53.2,-22.8,5727,-232.733917236328,-118
-53.2,-24.8,5728,-194.963886260986,-222
-53.2,-26.8,5729,-194.308488845825,-197
-53.2,-28.8,5730,-191.225854873657,-239
-53.2,-30.8,5731,-183.029666900635,-113
-53.2,-32.8,5732,-174.156051635742,-89
-51.2,3.2,5804,-265.709707260132,409
-51.2,1.2,5805,-269.863948822021,600
-51.2,-0.8,5806,-277.55871963501,-9
-51.2,-2.8,5807,-276.005167007446,147
-51.2,-4.8,5808,-267.817155838013,91
-51.2,-6.8,5809,-263.028749465942,77
-51.2,-8.8,5810,-265.71081161499,210
-51.2,-10.8,5811,-283.509885787964,46
-51.2,-12.8,5812,-278.547250747681,35
-51.2,-14.8,5813,-268.537645339966,26
-51.2,-16.8,5814,-255.196031570435,105
-51.2,-18.8,5815,-254.822916030884,3
-51.2,-20.8,5816,-236.094583511353,-29
-51.2,-22.8,5817,-225.777208328247,-126
-51.2,-24.8,5818,-192.316864013672,-253
-51.2,-26.8,5819,-162.845146179199,-410
-51.2,-28.8,5820,-171.651176452637,-332
-49.2,-0.8,5896,-278.061738967896,1102
-49.2,-2.8,5897,-277.616416931152,97
-49.2,-4.8,5898,-279.379333496094,-117
-49.2,-6.8,5899,-269.245906829834,125
-49.2,-8.8,5900,-272.10029220581,24
-49.2,-10.8,5901,-279.701969146729,-127
-49.2,-12.8,5902,-275.176115036011,57
-49.2,-14.8,5903,-256.0390625,-144
-49.2,-16.8,5904,-238.897302627564,255
-49.2,-18.8,5905,-242.264041900635,222
-49.2,-20.8,5906,-233.318426132202,-55
-49.2,-22.8,5907,-208.505645751953,-150
-49.2,-24.8,5908,-208.839948654175,-170
-49.2,-26.8,5909,-199.733270645142,-174
-49.2,-28.8,5910,-193.310657501221,-246
-47.2,-0.8,5986,-264.643838882446,318
-47.2,-2.8,5987,-270.057989120483,135
-47.2,-4.8,5988,-265.74995803833,229
-47.2,-6.8,5989,-265.80641746521,96
-47.2,-8.8,5990,-267.912738800049,-124
-47.2,-10.8,5991,-266.000551223755,-33
-47.2,-12.8,5992,-264.835447311401,26
-47.2,-14.8,5993,-258.524478912354,-18
-47.2,-16.8,5994,-229.617416381836,151
-47.2,-18.8,5995,-225.049760818481,46
-47.2,-20.8,5996,-213.468259811401,-14
-47.2,-22.8,5997,-205.412855148315,-121
-45.2,-2.8,6077,-273.545207977295,249
-45.2,-4.8,6078,-272.700584411621,226
-45.2,-6.8,6079,-268.082447052002,174
-45.2,-8.8,6080,-266.052520751953,76
-45.2,-10.8,6081,-247.476146697998,15
-45.2,-12.8,6082,-248.328437805176,-66
-45.2,-14.8,6083,-238.037364959717,18
-45.2,-16.8,6084,-241.683135986328,27
-45.2,-18.8,6085,-238.484645843506,-33
-45.2,-20.8,6086,-204.583415985107,-18
-45.2,-22.8,6087,-200.901437759399,-25
-43.2,-2.8,6167,-269.919551849365,97
-43.2,-4.8,6168,-277.092937469482,284
-43.2,-6.8,6169,-283.14946937561,295
-43.2,-8.8,6170,-265.050552368164,118
-43.2,-10.8,6171,-256.196750640869,50
-43.2,-12.8,6172,-263.330842971802,14
-43.2,-14.8,6173,-248.850063323975,-51
-43.2,-16.8,6174,-215.132989883423,-12
-43.2,-18.8,6175,-212.785146713257,-156
-43.2,-20.8,6176,-208.193698883057,9
-43.2,-22.8,6177,-227.582920074463,35
-41.2,-4.8,6258,-253.726104736328,4
-41.2,-6.8,6259,-256.718292236328,121
-41.2,-8.8,6260,-255.821905136108,80
-41.2,-10.8,6261,-230.745988845825,7
-41.2,-12.8,6262,-248.251926422119,100
-41.2,-14.8,6263,-237.994281768799,0
-41.2,-16.8,6264,-221.855604171753,-23
-41.2,-18.8,6265,-232.980104446411,-25
-41.2,-20.8,6266,-237.997842788696,-4
-39.2,-4.8,6348,-256.409969329834,9
-39.2,-6.8,6349,-262.20768737793,135
-39.2,-8.8,6350,-254.072322845459,-21
-39.2,-10.8,6351,-246.317321777344,62
-39.2,-12.8,6352,-234.904281616211,81
-39.2,-14.8,6353,-245.836427688599,294
-39.2,-16.8,6354,-244.7428855896,194
-37.2,-6.8,6439,-260.336906433106,50
